NU_ANO_CENSO,NO_UF,NO_MUNICIPIO,NO_CURSO,QT_VG_TOTAL,QT_INSCRITO_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND
2019,São Paulo,Jacareí,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,57,494,52,10,42,0,38,4,5,1,2,1,1,39,1,12,0,0,0,66,14,52,0,54,4,3,1,2,2,0,52,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,Limeira,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,53,536,52,3,49,0,47,5,0,0,0,0,0,26,7,18,1,0,0,180,19,161,0,144,29,4,3,0,0,0,109,13,48,3,1,6,27,4,23,0,20,6,1,0,0,0,0,19,2,5,0,0,1
2019,São Paulo,Sorocaba,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,60,121,52,4,48,0,35,10,4,2,1,0,0,36,4,9,0,0,3,84,9,75,0,60,16,5,2,1,0,0,61,4,18,0,0,1,14,1,13,0,10,1,2,1,0,0,0,12,0,2,0,0,0
2019,São Paulo,Itu,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,176,138,54,6,48,0,35,14,3,2,0,0,0,37,4,11,0,0,2,77,6,71,0,51,13,9,2,2,0,0,57,11,9,0,0,0,30,4,26,0,17,7,5,0,1,0,0,22,4,4,0,0,0
2019,São Paulo,Salto,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,175,131,55,8,47,0,31,17,3,2,1,1,0,39,1,13,1,0,1,74,10,64,0,49,20,4,0,0,1,0,56,2,14,1,0,1,18,0,18,0,12,4,2,0,0,0,0,16,0,2,0,0,0
2019,São Paulo,Santo André,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,142,254,55,5,50,0,33,11,10,1,0,0,0,36,6,11,0,2,0,44,4,40,0,28,7,8,1,0,0,0,27,5,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,São Paulo,Araraquara,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,87,469,56,15,41,0,40,10,4,2,0,0,0,38,4,11,1,0,2,133,29,104,0,101,22,7,2,0,1,0,93,8,20,1,1,10,16,3,13,0,14,1,1,0,0,0,0,13,0,0,0,1,2
2019,São Paulo,Cotia,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,410,201,57,6,51,0,46,5,3,2,1,0,0,16,8,13,2,0,18,123,10,113,0,86,27,4,4,2,0,0,31,10,32,2,0,48,33,3,30,0,16,13,1,2,1,0,0,9,1,9,0,0,14
2019,São Paulo,Campos do Jordão,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,100,290,58,11,47,0,45,9,1,1,2,0,0,37,2,17,0,0,2,144,31,113,0,88,29,16,3,7,1,0,104,7,28,0,2,3,10,0,10,0,3,2,4,0,1,0,0,8,1,0,0,1,0
2019,São Paulo,São Paulo,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,61,251,60,9,51,0,45,8,5,2,0,0,0,42,6,11,0,1,0,74,14,60,0,55,12,5,2,0,0,0,46,7,17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
